Year,Vaccine Group,Total Required Supply
2029,PCV,384699036.911683
2028,PCV,381363287.312419
2027,PCV,335763677.833277
2026,PCV,323786247.184502
2025,PCV,316010642.043547
2024,PCV,304365772.589802
2023,PCV,290432182.003962
2022,PCV,265321599.673049
2021,PCV,249512384.913804
2020,PCV,233631574.654547
2019,PCV,240361488.962666
2030,PPSV,24016378.8216454
2029,PPSV,24071054.6311303
2028,PPSV,23938501.9428796
2027,PPSV,23448433.9210474
2026,PPSV,22689494.7595901
2025,PPSV,21961829.7291645
2024,PPSV,21123741.7022684
2023,PPSV,20341187.4437763
2022,PPSV,19599421.7585395
2021,PPSV,19024099.1958724
2020,PPSV,18410682.0484625
2019,PPSV,18148359.650829
2030,Rota,312342363.233794
2029,Rota,310680525.449138
2028,Rota,308951602.405621
2027,Rota,307498081.987348
2026,Rota,305171674.640853
2025,Rota,294292735.391788
2024,Rota,256384581.813786
2023,Rota,243799260.121899
2022,Rota,227333163.653799
2021,Rota,196550582.912715
2020,Rota,190800778.887841
2019,Rota,175674820.805332
2030,HPV,119076405.514636
2029,HPV,119053138.2122
2028,HPV,117826666.971227
2027,HPV,111183975.281806
2026,HPV,110209858.585738
2025,HPV,101868983.492542
2024,HPV,72953794.6916693
2023,HPV,65098616.7652021
2022,HPV,49363249.7778847
2021,HPV,46094363.7523417
2020,HPV,41929522.2925076
2019,HPV,36035995.2927661
2030,Tropical Diseases,198663542.768939
2029,Tropical Diseases,198083638.333439
2028,Tropical Diseases,194794608.033762
2027,Tropical Diseases,184699889.466349
2026,Tropical Diseases,172183548.08759
2025,Tropical Diseases,162130787.045361
2024,Tropical Diseases,149874148.746826
2023,Tropical Diseases,136688184.61795
2022,Tropical Diseases,122532149.334975
2021,Tropical Diseases,114484988.497356
2020,Tropical Diseases,107925764.063026
2019,Tropical Diseases,108649547.992493
2030,Polio (standalone),207607085.099821
2029,Polio (standalone),205557627.686674
2028,Polio (standalone),203373755.042809
2027,Polio (standalone),201170756.303145
2026,Polio (standalone),825473483.922654
2025,Polio (standalone),817866350.859103
2024,Polio (standalone),809422576.139518
2023,Polio (standalone),800333108.045385
2022,Polio (standalone),774747959.710415
2021,Polio (standalone),738651588.784556
2020,Polio (standalone),723432197.247463
2019,Polio (standalone),738010317.61555
