,TSS,TCS,TPF,Market,Exp,Min Price Rate,RP uncertainty,Markets,Commitment
0,1217142573.1744318,1215829524.55863,1217142573.1744313,AU,1,2,0.1,PAHO-Gavi-AU-Y,0.0
0,10632362637.641312,10626974693.583021,10632362637.641312,PAHO,1,2,0.1,PAHO-AU-Gavi-Y,0.0
0,1217142573.1744318,1215244326.79116,1217142573.1744313,AU,1,2,0.1,PAHO-AU-Gavi-Y,0.0
0,6478495642.823361,6471507062.098045,6478495642.82336,Gavi,1,2,0.1,PAHO-AU-Gavi-Y,0.0
0,10382573230.464706,10372723665.73003,10382573230.464708,Gavi,1,2,0.1,Gavi-PAHO-AU-Y,0.0
0,2835745638.0076056,2831721110.243448,2835745638.007605,PAHO,1,2,0.1,Gavi-PAHO-AU-Y,0.0
0,1217142573.1744318,1215829524.55863,1217142573.1744313,AU,1,2,0.1,Gavi-PAHO-AU-Y,0.0
0,10382573230.464706,10372723665.73003,10382573230.464708,Gavi,1,2,0.1,Gavi-AU-PAHO-Y,0.0
0,1217142573.1744318,1215706387.9119864,1217142573.1744313,AU,1,2,0.1,Gavi-AU-PAHO-Y,0.0
0,2835745638.0076056,2832686522.179212,2835745638.007605,PAHO,1,2,0.1,Gavi-AU-PAHO-Y,0.0
0,2282090773.5953746,2280069390.5654325,2282090773.5953736,AU,1,2,0.1,AU-Gavi-PAHO-Y,0.0
0,6478495642.823361,6470851641.569402,6478495642.82336,Gavi,1,2,0.1,AU-Gavi-PAHO-Y,0.0
0,2835745638.0076056,2832686522.179212,2835745638.007605,PAHO,1,2,0.1,AU-Gavi-PAHO-Y,0.0
0,2282090773.5953746,2280069390.5654325,2282090773.5953736,AU,1,2,0.1,AU-PAHO-Gavi-Y,0.0
0,2835745638.0076056,2831323105.885144,2835745638.007605,PAHO,1,2,0.1,AU-PAHO-Gavi-Y,0.0
0,6478495642.823361,6471507062.098045,6478495642.82336,Gavi,1,2,0.1,AU-PAHO-Gavi-Y,0.0
0,10632362637.641312,10626974693.583021,10632362637.641312,PAHO,1,2,0.1,PAHO-Gavi-AU-Y,0.0
0,6478495642.823361,6469301498.617474,6478495642.82336,Gavi,1,2,0.1,PAHO-Gavi-AU-Y,0.0
0,1165925215.609714,1164612166.993912,1217142573.1744316,AU,1,2,0.1,PAHO-Gavi-AU-Y,1.0
0,10632362637.641312,10626974693.583021,10632362637.641312,PAHO,1,2,0.1,PAHO-AU-Gavi-Y,0.0
0,1165925215.609714,1164026969.226442,1217142573.1744316,AU,1,2,0.1,PAHO-AU-Gavi-Y,1.0
0,6478495642.823361,6471507062.098045,6478495642.82336,Gavi,1,2,0.1,PAHO-AU-Gavi-Y,0.0
0,10382573230.464706,10372723665.73003,10382573230.464708,Gavi,1,2,0.1,Gavi-PAHO-AU-Y,0.0
0,2835745638.0076056,2831721110.243448,2835745638.007605,PAHO,1,2,0.1,Gavi-PAHO-AU-Y,0.0
0,1165925215.609714,1164612166.993912,1217142573.1744316,AU,1,2,0.1,Gavi-PAHO-AU-Y,1.0
0,10382573230.464706,10372723665.73003,10382573230.464708,Gavi,1,2,0.1,Gavi-AU-PAHO-Y,0.0
0,1165925215.609714,1164489030.3472683,1217142573.1744316,AU,1,2,0.1,Gavi-AU-PAHO-Y,1.0
0,2835745638.0076056,2832686522.179212,2835745638.007605,PAHO,1,2,0.1,Gavi-AU-PAHO-Y,0.0
0,2230873416.030657,2228852033.0007143,2282090773.595374,AU,1,2,0.1,AU-Gavi-PAHO-Y,1.0
